STATE,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
TRIPURA,KIDNAPPING,93,128,0,99,85,105,93,128,0,99,85,105
UTTAR PRADESH,KIDNAPPING,4330,3430,879,3337,2955,3318,4330,3430,879,3337,2955,3318
UTTARAKHAND,KIDNAPPING,183,198,146,213,203,212,183,198,146,213,203,212
WEST BENGAL,KIDNAPPING,875,831,2208,1200,1207,1355,875,831,2208,1200,1207,1355
A & N ISLANDS,DOCOITY,0,1,171,0,0,0,0,1,171,0,0,0
ANDHRA PRADESH,DOCOITY,214,197,902,199,250,178,214,197,902,199,250,178
ARUNACHAL PRADESH,DOCOITY,22,22,2,30,23,28,22,22,2,30,23,28
ASSAM,DOCOITY,532,473,2,360,334,319,532,473,2,360,334,319
BIHAR,DOCOITY,1291,1289,1485,1319,1212,1001,1291,1289,1485,1319,1212,1001
CHANDIGARH,DOCOITY,5,1,68,0,0,1,5,1,68,0,0,1
CHHATTISGARH,DOCOITY,87,144,1628,106,204,160,87,144,1628,106,204,160
D & N HAVELI,DOCOITY,0,3,2427,3,3,5,0,3,2427,3,3,5
DAMAN & DIU,DOCOITY,0,2,32,0,4,8,0,2,32,0,4,8
DELHI UT,DOCOITY,2,1,177,1,3,2,2,1,177,1,3,2
GOA,DOCOITY,7,5,7,5,2,7,7,5,7,5,2,7
GUJARAT,DOCOITY,327,804,1,360,282,290,327,804,1,360,282,290
HARYANA,DOCOITY,77,61,105,52,88,104,77,61,105,52,88,104
HIMACHAL PRADESH,DOCOITY,4,0,14,1,6,7,4,0,14,1,6,7
JAMMU & KASHMIR,DOCOITY,24,42,1044,28,13,10,24,42,1044,28,13,10
JHARKHAND,DOCOITY,636,580,388,580,592,536,636,580,388,580,592,536
KARNATAKA,DOCOITY,178,178,113,177,208,202,178,178,113,177,208,202
KERALA,DOCOITY,176,137,712,129,110,129,176,137,712,129,110,129
LAKSHADWEEP,DOCOITY,0,0,487,0,0,0,0,0,487,0,0,0
MADHYA PRADESH,DOCOITY,166,136,531,147,147,151,166,136,531,147,147,151
MAHARASHTRA,DOCOITY,529,548,189,629,641,663,529,548,189,629,641,663
MANIPUR,DOCOITY,20,3,0,2,4,2,20,3,0,2,4,2
MEGHALAYA,DOCOITY,97,64,887,91,81,57,97,64,887,91,81,57
MIZORAM,DOCOITY,3,5,926,10,3,7,3,5,926,10,3,7
NAGALAND,DOCOITY,11,21,120,14,12,16,11,21,120,14,12,16
ODISHA,DOCOITY,199,246,49,238,184,239,199,246,49,238,184,239
PUDUCHERRY,DOCOITY,1,2,8,0,1,2,1,2,8,0,1,2
PUNJAB,DOCOITY,45,50,38,17,27,35,45,50,38,17,27,35
RAJASTHAN,DOCOITY,60,47,477,58,41,37,60,47,477,58,41,37
SIKKIM,DOCOITY,0,0,18,0,2,0,0,0,18,0,2,0
TAMIL NADU,DOCOITY,158,176,464,72,73,95,158,176,464,72,73,95
TRIPURA,DOCOITY,26,29,2238,27,22,18,26,29,2238,27,22,18
UTTAR PRADESH,DOCOITY,905,552,0,378,286,218,905,552,0,378,286,218
UTTARAKHAND,DOCOITY,32,32,879,37,48,31,32,32,879,37,48,31
WEST BENGAL,DOCOITY,274,204,146,212,211,177,274,204,146,212,211,177
A & N ISLANDS,ROBBERRY,4,7,2208,3,4,5,4,7,2208,3,4,5
ANDHRA PRADESH,ROBBERRY,629,648,171,596,794,679,629,648,171,596,794,679
ARUNACHAL PRADESH,ROBBERRY,84,96,902,45,77,74,84,96,902,45,77,74
ASSAM,ROBBERRY,687,607,2,505,451,544,687,607,2,505,451,544
BIHAR,ROBBERRY,2203,2288,2,2986,2374,2169,2203,2288,2,2986,2374,2169
CHANDIGARH,ROBBERRY,22,26,1485,6,12,34,22,26,1485,6,12,34
CHHATTISGARH,ROBBERRY,338,326,68,363,401,439,338,326,68,363,401,439
D & N HAVELI,ROBBERRY,2,1,1628,2,2,5,2,1,1628,2,2,5
DAMAN & DIU,ROBBERRY,0,1,2427,1,0,1,0,1,2427,1,0,1
DELHI UT,ROBBERRY,58,50,32,50,49,39,58,50,32,50,49,39
GOA,ROBBERRY,25,24,177,18,28,17,25,24,177,18,28,17
GUJARAT,ROBBERRY,991,1098,7,1136,966,970,991,1098,7,1136,966,970
HARYANA,ROBBERRY,397,330,1,244,390,410,397,330,1,244,390,410
HIMACHAL PRADESH,ROBBERRY,28,18,105,25,22,29,28,18,105,25,22,29
JAMMU & KASHMIR,ROBBERRY,161,163,14,129,116,112,161,163,14,129,116,112
JHARKHAND,ROBBERRY,647,780,1044,780,732,779,647,780,1044,780,732,779
KARNATAKA,ROBBERRY,847,972,388,1024,1202,1349,847,972,388,1024,1202,1349
KERALA,ROBBERRY,517,610,113,639,621,691,517,610,113,639,621,691
LAKSHADWEEP,ROBBERRY,0,0,712,0,0,0,0,0,712,0,0,0
MADHYA PRADESH,ROBBERRY,1764,1829,487,1526,1557,1770,1764,1829,487,1526,1557,1770
MAHARASHTRA,ROBBERRY,2239,2136,531,2229,2411,2574,2239,2136,531,2229,2411,2574
MANIPUR,ROBBERRY,19,6,189,3,8,8,19,6,189,3,8,8
MEGHALAYA,ROBBERRY,125,109,0,81,95,65,125,109,0,81,95,65
MIZORAM,ROBBERRY,23,7,887,6,6,10,23,7,887,6,6,10
NAGALAND,ROBBERRY,129,110,926,117,80,84,129,110,926,117,80,84
ODISHA,ROBBERRY,958,945,120,952,998,1184,958,945,120,952,998,1184
PUDUCHERRY,ROBBERRY,4,6,49,1,5,2,4,6,49,1,5,2
PUNJAB,ROBBERRY,131,110,8,86,85,142,131,110,8,86,85,142
RAJASTHAN,ROBBERRY,889,734,38,673,590,631,889,734,38,673,590,631
SIKKIM,ROBBERRY,3,5,477,5,4,9,3,5,477,5,4,9
TAMIL NADU,ROBBERRY,672,653,18,464,437,450,672,653,18,464,437,450
TRIPURA,ROBBERRY,63,56,464,46,61,71,63,56,464,46,61,71
UTTAR PRADESH,ROBBERRY,3825,2840,2238,2606,2049,2024,3825,2840,2238,2606,2049,2024
UTTARAKHAND,ROBBERRY,191,177,0,165,159,157,191,177,0,165,159,157
WEST BENGAL,ROBBERRY,660,544,879,535,426,426,660,544,879,535,426,426
A & N ISLANDS,BURGLARY,62,47,146,69,68,82,62,47,146,69,68,82
ANDHRA PRADESH,BURGLARY,7220,7628,2208,8457,7954,8304,7220,7628,2208,8457,7954,8304
ARUNACHAL PRADESH,BURGLARY,248,249,171,215,263,257,248,249,171,215,263,257
ASSAM,BURGLARY,2423,2504,902,2544,2255,2911,2423,2504,902,2544,2255,2911
BIHAR,BURGLARY,3233,3188,1,3175,3117,3531,3233,3188,1,3175,3117,3531
CHANDIGARH,BURGLARY,364,336,2,186,223,189,364,336,2,186,223,189
CHHATTISGARH,BURGLARY,4144,3731,176,3720,3621,3507,4144,3731,176,3720,3621,3507
D & N HAVELI,BURGLARY,34,38,37,20,25,41,34,38,37,20,25,41
DAMAN & DIU,BURGLARY,43,56,471,35,37,60,43,56,471,35,37,60
DELHI UT,BURGLARY,418,313,1221,235,325,272,418,313,1221,235,325,272
GOA,BURGLARY,359,376,3,261,265,252,359,376,3,261,265,252
GUJARAT,BURGLARY,5142,5327,140,5828,5332,5530,5142,5327,140,5828,5332,5530
HARYANA,BURGLARY,3109,3048,4,2786,3437,4001,3109,3048,4,2786,3437,4001
HIMACHAL PRADESH,BURGLARY,844,710,4,766,696,754,844,710,4,766,696,754
JAMMU & KASHMIR,BURGLARY,1345,1321,3,1420,1397,1351,1345,1321,3,1420,1397,1351
JHARKHAND,BURGLARY,1266,1419,5,1419,1610,1428,1266,1419,5,1419,1610,1428
KARNATAKA,BURGLARY,6394,6480,338,6093,5986,5967,6394,6480,338,6093,5986,5967
KERALA,BURGLARY,4474,4624,63,4580,4110,4245,4474,4624,63,4580,4110,4245
LAKSHADWEEP,BURGLARY,1,9,8,2,2,2,1,9,8,2,2,2
MADHYA PRADESH,BURGLARY,13549,13344,23,12308,11192,10960,13549,13344,23,12308,11192,10960
MAHARASHTRA,BURGLARY,15073,14471,702,14659,15615,15877,15073,14471,702,14659,15615,15877
MANIPUR,BURGLARY,75,44,220,66,62,55,75,44,220,66,62,55
MEGHALAYA,BURGLARY,170,154,142,142,148,140,170,154,142,142,148,140
MIZORAM,BURGLARY,417,446,0,250,442,422,417,446,0,250,442,422
NAGALAND,BURGLARY,163,128,153,70,93,70,163,128,153,70,93,70
ODISHA,BURGLARY,3093,2884,514,2992,3029,3120,3093,2884,514,2992,3029,3120
PUDUCHERRY,BURGLARY,111,129,3,86,67,66,111,129,3,86,67,66
PUNJAB,BURGLARY,1902,1928,83,1766,1933,2277,1902,1928,83,1766,1933,2277
RAJASTHAN,BURGLARY,7284,6661,5,5911,5227,5085,7284,6661,5,5911,5227,5085
SIKKIM,BURGLARY,76,66,19,64,85,84,76,66,19,64,85,84
TAMIL NADU,BURGLARY,5965,5533,178,4147,3738,3300,5965,5533,178,4147,3738,3300
TRIPURA,BURGLARY,198,192,2,166,170,182,198,192,2,166,170,182
UTTAR PRADESH,BURGLARY,8411,6126,30,5299,4556,4577,8411,6126,30,5299,4556,4577
UTTARAKHAND,BURGLARY,533,554,36,566,521,470,533,554,36,566,521,470
WEST BENGAL,BURGLARY,426,348,2,547,739,601,426,348,2,547,739,601
A & N ISLANDS,THEFT,65,46,95,103,92,101,65,46,95,103,92,101
ANDHRA PRADESH,THEFT,16751,19222,36,23578,23778,23510,16751,19222,36,23578,23778,23510
ARUNACHAL PRADESH,THEFT,443,395,317,388,531,451,443,395,317,388,531,451
ASSAM,THEFT,5367,5555,26,5866,6369,7820,5367,5555,26,5866,6369,7820
BIHAR,THEFT,9701,10145,217,11113,10812,11752,9701,10145,217,11113,10812,11752
CHANDIGARH,THEFT,1529,1647,7,1459,1373,1234,1529,1647,7,1459,1373,1234
CHHATTISGARH,THEFT,4812,4302,7,5014,5600,5262,4812,4302,7,5014,5600,5262
D & N HAVELI,THEFT,45,75,660,53,74,61,45,75,660,53,74,61
DAMAN & DIU,THEFT,40,56,60,27,50,63,40,56,60,27,50,63
DELHI UT,THEFT,2100,1925,523,2512,2370,2310,2100,1925,523,2512,2370,2310
GOA,THEFT,576,496,2463,503,495,494,576,496,2463,503,495,494
GUJARAT,THEFT,15834,15742,12,18551,17964,18475,15834,15742,12,18551,17964,18475
